Devices,Lane,PercentageCar,AverageDistance,TimeOccupy,Traffic,Speed,Time
51121312100001,11,21,2711,22,29.0,83.60344827586206,2019-09-30 12:39:31
51121312100001,31,21,2711,22,22.0,88.1590909090909,2019-09-30 12:39:31
51121312100001,11,21,2711,22,22.0,94.47727272727272,2019-09-30 12:34:30
51121312100001,31,21,2711,22,27.0,91.5,2019-09-30 12:34:30
51121312100001,11,21,2711,22,25.0,82.56,2019-09-30 12:29:31
51121312100001,31,21,2711,22,26.0,85.61538461538461,2019-09-30 12:29:31
51121312100001,11,21,2711,22,25.0,82.88,2019-09-30 12:24:31
51121312100001,31,21,2711,22,30.0,89.3,2019-09-30 12:24:31
51121312100001,11,21,2711,22,22.0,84.27272727272727,2019-09-30 12:19:31
51121312100001,31,21,2711,22,30.0,80.71666666666667,2019-09-30 12:19:31
51121312100001,11,21,2711,22,30.5,101.63934426229507,2019-09-30 11:49:31
51121312100001,31,21,2711,22,29.5,93.15254237288136,2019-09-30 11:49:31
51121312100001,11,21,2711,22,27.5,96.30909090909093,2019-09-30 11:44:31
51121312100001,31,21,2711,22,31.5,87.96825396825396,2019-09-30 11:44:31
51121312100001,11,21,2711,22,36.5,103.42465753424658,2019-09-30 11:39:31
51121312100001,31,21,2711,22,27.5,104.76363636363637,2019-09-30 11:39:31
51121312100001,11,21,2711,22,27.5,91.38181818181818,2019-09-30 11:34:31
51121312100001,31,21,2711,22,32.5,101.49230769230768,2019-09-30 11:34:31
51121312100001,11,21,2711,22,37.5,94.50666666666666,2019-09-30 11:29:31
51121312100001,31,21,2711,22,31.5,94.61904761904762,2019-09-30 11:29:31
51121312100001,11,21,2711,22,33.5,81.07462686567165,2019-09-30 11:24:31
51121312100001,31,21,2711,22,41.5,82.19277108433734,2019-09-30 11:24:31
51121312100001,11,21,2711,22,38.5,94.58441558441557,2019-09-30 11:19:31
51121312100001,31,21,2711,22,40.5,75.08641975308642,2019-09-30 11:19:31
51121312100001,11,21,2711,22,33.5,94.91044776119404,2019-09-30 11:14:31
51121312100001,31,21,2711,22,39.5,86.32911392405062,2019-09-30 11:14:31
51121312100001,11,21,2711,22,29.5,91.25423728813558,2019-09-30 11:09:31
51121312100001,31,21,2711,22,37.5,90.52,2019-09-30 11:09:31
51121312100001,11,21,2711,22,26.5,80.15094339622641,2019-09-30 11:04:31
51121312100001,31,21,2711,22,34.5,96.02898550724638,2019-09-30 11:04:31
51121312100001,11,21,2711,22,55.0,74.07272727272728,2019-09-30 10:59:31
51121312100001,31,21,2711,22,56.0,102.64285714285714,2019-09-30 10:59:31
51121312100001,11,21,2711,22,31.5,91.4761904761905,2019-09-30 10:54:31
51121312100001,31,21,2711,22,39.5,84.75949367088606,2019-09-30 10:54:31
51121312100001,11,21,2711,22,32.5,87.4,2019-09-30 10:49:31
51121312100001,31,21,2711,22,38.5,83.24675324675323,2019-09-30 10:49:31
51121312100001,11,21,2711,22,32.5,81.58461538461539,2019-09-30 10:44:30
51121312100001,31,21,2711,22,35.5,86.70422535211267,2019-09-30 10:44:30
51121312100001,11,21,2711,22,36.5,104.53424657534245,2019-09-30 10:39:30
51121312100001,31,21,2711,22,31.5,78.1111111111111,2019-09-30 10:39:30
51121312100001,11,21,2711,22,37.5,83.16,2019-09-30 10:34:31
51121312100001,31,21,2711,22,36.5,91.17808219178082,2019-09-30 10:34:31
51121312100001,11,21,2711,22,35.5,101.57746478873241,2019-09-30 10:29:31
51121312100001,31,21,2711,22,35.5,84.84507042253522,2019-09-30 10:29:31
51121312100001,11,21,2711,22,35.5,93.88732394366195,2019-09-30 10:24:31
51121312100001,31,21,2711,22,31.5,75.63492063492063,2019-09-30 10:24:31
51121312100001,11,21,2711,22,33.5,104.08955223880596,2019-09-30 10:19:31
51121312100001,31,21,2711,22,36.5,78.0,2019-09-30 10:19:31
51121312100001,11,21,2711,22,32.5,80.98461538461537,2019-09-30 10:14:31
51121312100001,31,21,2711,22,34.5,98.89855072463769,2019-09-30 10:14:31
51121312100001,11,21,2711,22,34.5,93.55072463768116,2019-09-30 10:09:31
51121312100001,31,21,2711,22,38.5,95.85714285714286,2019-09-30 10:09:31
51121312100001,11,21,2711,22,35.5,82.78873239436619,2019-09-30 10:04:31
51121312100001,31,21,2711,22,32.5,99.6,2019-09-30 10:04:31
51121312100001,11,21,2711,22,60.0,82.26666666666667,2019-09-30 09:59:31
51121312100001,31,21,2711,22,59.5,82.96638655462183,2019-09-30 09:59:31
51121312100001,11,21,2711,22,27.0,101.85185185185185,2019-09-30 09:54:31
51121312100001,31,21,2711,22,26.0,96.84615384615385,2019-09-30 09:54:31
51121312100001,11,21,2711,22,27.0,95.33333333333331,2019-09-30 09:49:31
51121312100001,31,21,2711,22,25.0,80.64,2019-09-30 09:49:31
51121312100001,11,21,2711,22,28.0,83.28571428571429,2019-09-30 09:44:31
51121312100001,31,21,2711,22,25.0,87.96,2019-09-30 09:44:31
51121312100001,11,21,2711,22,26.0,79.15384615384616,2019-09-30 09:39:31
51121312100001,31,21,2711,22,29.0,87.72413793103449,2019-09-30 09:39:31
51121312100001,11,21,2711,22,26.0,98.42307692307692,2019-09-30 09:34:31
51121312100001,31,21,2711,22,30.0,83.66666666666667,2019-09-30 09:34:31
51121312100001,11,21,2711,22,28.0,77.10714285714286,2019-09-30 09:29:31
51121312100001,31,21,2711,22,31.0,85.70967741935483,2019-09-30 09:29:31
51121312100001,11,21,2711,22,30.0,90.53333333333332,2019-09-30 09:24:31
51121312100001,31,21,2711,22,26.0,81.30769230769229,2019-09-30 09:24:31
51121312100001,11,21,2711,22,26.0,78.88461538461539,2019-09-30 09:19:31
51121312100001,31,21,2711,22,26.0,92.30769230769229,2019-09-30 09:19:31
51121312100001,11,21,2711,22,28.0,83.35714285714286,2019-09-30 09:14:30
51121312100001,31,21,2711,22,30.0,99.16666666666669,2019-09-30 09:14:30
51121312100001,11,21,2711,22,30.0,86.5,2019-09-30 09:09:31
51121312100001,31,21,2711,22,28.0,82.60714285714286,2019-09-30 09:09:31
51121312100001,11,21,2711,22,26.0,82.26923076923076,2019-09-30 09:04:32
51121312100001,31,21,2711,22,28.0,90.39285714285714,2019-09-30 09:04:32
51121312100001,11,21,2711,22,36.5,94.3013698630137,2019-09-30 08:59:32
51121312100001,31,21,2711,22,30.5,86.63934426229507,2019-09-30 08:59:32
51121312100001,11,21,2711,22,27.0,96.33333333333331,2019-09-30 08:54:32
51121312100001,31,21,2711,22,23.0,78.65217391304348,2019-09-30 08:54:32
51121312100001,11,21,2711,22,27.0,81.8888888888889,2019-09-30 08:49:32
51121312100001,31,21,2711,22,27.0,83.85185185185185,2019-09-30 08:49:32
51121312100001,11,21,2711,22,23.0,90.95652173913044,2019-09-30 08:44:31
51121312100001,31,21,2711,22,26.0,87.0,2019-09-30 08:44:31
51121312100001,11,21,2711,22,25.0,83.28,2019-09-30 08:39:31
51121312100001,31,21,2711,22,26.0,88.84615384615385,2019-09-30 08:39:31
51121312100001,11,21,2711,22,24.0,95.875,2019-09-30 08:34:32
51121312100001,31,21,2711,22,23.0,83.56521739130434,2019-09-30 08:34:32
51121312100001,11,21,2711,22,27.0,76.2962962962963,2019-09-30 08:29:31
51121312100001,31,21,2711,22,25.0,84.24,2019-09-30 08:29:31
51121312100001,11,21,2711,22,27.0,95.77777777777777,2019-09-30 08:24:31
51121312100001,31,21,2711,22,23.0,93.65217391304348,2019-09-30 08:24:31
51121312100001,11,21,2711,22,26.0,94.69230769230771,2019-09-30 08:19:31
51121312100001,31,21,2711,22,24.0,99.125,2019-09-30 08:19:31
51121312100001,11,21,2711,22,28.0,94.32142857142857,2019-09-30 08:14:31
51121312100001,31,21,2711,22,26.0,102.42307692307692,2019-09-30 08:14:31
51121312100001,11,21,2711,22,24.0,81.08333333333333,2019-09-30 08:09:31
51121312100001,31,21,2711,22,24.0,80.08333333333333,2019-09-30 08:09:31
51121312100001,11,21,2711,22,24.0,83.375,2019-09-30 08:04:31
51121312100001,31,21,2711,22,22.0,102.13636363636364,2019-09-30 08:04:31
51121312100001,11,21,2711,22,79.0,95.65822784810128,2019-09-30 07:59:31
51121312100001,31,21,2711,22,77.0,78.89610389610391,2019-09-30 07:59:31
51121312100001,11,21,2711,22,23.5,98.3191489361702,2019-09-30 07:54:31
51121312100001,31,21,2711,22,20.5,92.43902439024392,2019-09-30 07:54:31
51121312100001,11,21,2711,22,23.5,92.10638297872342,2019-09-30 07:49:30
51121312100001,31,21,2711,22,22.5,83.06666666666666,2019-09-30 07:49:30
51121312100001,11,21,2711,22,20.5,94.65853658536585,2019-09-30 07:44:31
51121312100001,31,21,2711,22,19.5,87.48717948717949,2019-09-30 07:44:31
51121312100001,11,21,2711,22,23.5,78.12765957446808,2019-09-30 07:39:31
51121312100001,31,21,2711,22,23.5,100.0,2019-09-30 07:39:31
51121312100001,11,21,2711,22,23.5,85.55319148936171,2019-09-30 07:34:31
51121312100001,31,21,2711,22,19.5,75.71794871794873,2019-09-30 07:34:31
51121312100001,11,21,2711,22,22.5,94.51111111111109,2019-09-30 07:29:31
51121312100001,31,21,2711,22,20.5,77.48780487804878,2019-09-30 07:29:31
51121312100001,11,21,2711,22,19.5,79.05128205128206,2019-09-30 07:24:31
51121312100001,31,21,2711,22,23.5,93.59574468085108,2019-09-30 07:24:31
51121312100001,11,21,2711,22,22.5,99.04444444444445,2019-09-30 07:19:31
51121312100001,31,21,2711,22,19.5,79.71794871794873,2019-09-30 07:19:31
51121312100001,11,21,2711,22,19.5,84.74358974358974,2019-09-30 07:14:31
51121312100001,31,21,2711,22,19.5,76.66666666666667,2019-09-30 07:14:31
51121312100001,11,21,2711,22,21.5,87.953488372093,2019-09-30 07:09:31
51121312100001,31,21,2711,22,23.5,96.72340425531915,2019-09-30 07:09:31
51121312100001,11,21,2711,22,20.5,103.65853658536585,2019-09-30 07:04:31
51121312100001,31,21,2711,22,20.5,93.34146341463415,2019-09-30 07:04:31
51121312100001,11,21,2711,22,46.5,97.35483870967742,2019-09-30 06:59:31
51121312100001,31,21,2711,22,58.5,84.58119658119658,2019-09-30 06:59:31
51121312100001,11,21,2711,22,13.5,95.0,2019-09-30 06:54:32
51121312100001,31,21,2711,22,14.5,87.6206896551724,2019-09-30 06:54:32
51121312100001,11,21,2711,22,15.5,101.16129032258064,2019-09-30 06:49:31
51121312100001,31,21,2711,22,14.5,82.3793103448276,2019-09-30 06:49:31
51121312100001,11,21,2711,22,14.5,90.24137931034485,2019-09-30 06:44:32
51121312100001,31,21,2711,22,14.5,76.65517241379311,2019-09-30 06:44:32
51121312100001,11,21,2711,22,13.5,80.03703703703705,2019-09-30 06:39:32
51121312100001,31,21,2711,22,14.5,84.75862068965517,2019-09-30 06:39:32
51121312100001,11,21,2711,22,13.5,107.33333333333331,2019-09-30 06:34:30
51121312100001,31,21,2711,22,13.5,84.07407407407408,2019-09-30 06:34:30
51121312100001,11,21,2711,22,15.5,99.61290322580645,2019-09-30 06:29:32
51121312100001,31,21,2711,22,13.5,75.92592592592592,2019-09-30 06:29:32
51121312100001,11,21,2711,22,14.5,86.89655172413794,2019-09-30 06:24:32
51121312100001,31,21,2711,22,14.5,77.55172413793103,2019-09-30 06:24:32
51121312100001,11,21,2711,22,14.5,93.93103448275862,2019-09-30 06:19:31
51121312100001,31,21,2711,22,14.5,86.20689655172414,2019-09-30 06:19:31
51121312100001,11,21,2711,22,15.5,76.12903225806451,2019-09-30 06:14:31
51121312100001,31,21,2711,22,15.5,100.54838709677419,2019-09-30 06:14:31
51121312100001,11,21,2711,22,15.5,88.93548387096773,2019-09-30 06:09:31
51121312100001,31,21,2711,22,13.5,74.8888888888889,2019-09-30 06:09:31
51121312100001,11,21,2711,22,13.5,85.7037037037037,2019-09-30 06:04:30
51121312100001,31,21,2711,22,15.5,90.83870967741936,2019-09-30 06:04:30
51121312100001,11,21,2711,22,22.0,88.81818181818181,2019-09-30 05:59:30
51121312100001,31,21,2711,22,23.5,93.19148936170212,2019-09-30 05:59:30
51121312100001,11,21,2711,22,11.0,92.54545454545456,2019-09-30 05:54:31
51121312100001,31,21,2711,22,11.0,105.36363636363636,2019-09-30 05:54:31
51121312100001,11,21,2711,22,10.0,93.2,2019-09-30 05:49:31
51121312100001,31,21,2711,22,10.0,87.2,2019-09-30 05:49:31
51121312100001,11,21,2711,22,11.0,96.45454545454544,2019-09-30 05:44:31
51121312100001,31,21,2711,22,10.0,101.8,2019-09-30 05:44:31
51121312100001,11,21,2711,22,12.0,105.33333333333331,2019-09-30 05:39:32
51121312100001,31,21,2711,22,11.0,83.72727272727273,2019-09-30 05:39:32
51121312100001,11,21,2711,22,11.0,107.8181818181818,2019-09-30 05:34:32
51121312100001,31,21,2711,22,11.0,87.36363636363636,2019-09-30 05:34:32
51121312100001,11,21,2711,22,10.0,88.2,2019-09-30 05:29:31
51121312100001,31,21,2711,22,11.0,81.9090909090909,2019-09-30 05:29:31
51121312100001,11,21,2711,22,12.0,87.0,2019-09-30 05:24:32
51121312100001,31,21,2711,22,10.0,96.8,2019-09-30 05:24:32
51121312100001,11,21,2711,22,12.0,83.33333333333333,2019-09-30 05:19:32
51121312100001,31,21,2711,22,11.0,89.72727272727273,2019-09-30 05:19:32
51121312100001,11,21,2711,22,11.0,82.54545454545455,2019-09-30 05:14:32
51121312100001,31,21,2711,22,10.0,104.4,2019-09-30 05:14:32
51121312100001,11,21,2711,22,12.0,96.33333333333331,2019-09-30 05:09:32
51121312100001,31,21,2711,22,10.0,88.2,2019-09-30 05:09:32
51121312100001,11,21,2711,22,10.0,93.6,2019-09-30 05:04:32
51121312100001,31,21,2711,22,11.0,93.1818181818182,2019-09-30 05:04:32
51121312100001,11,21,2711,22,46.5,98.80645161290323,2019-09-30 04:59:32
51121312100001,31,21,2711,22,39.5,93.34177215189872,2019-09-30 04:59:32
51121312100001,11,21,2711,22,6.0,90.33333333333331,2019-09-30 04:54:32
51121312100001,31,21,2711,22,6.0,94.33333333333331,2019-09-30 04:54:32
51121312100001,11,21,2711,22,6.0,98.0,2019-09-30 04:49:32
51121312100001,31,21,2711,22,6.0,87.66666666666669,2019-09-30 04:49:32
51121312100001,11,21,2711,22,6.0,94.66666666666669,2019-09-30 04:44:31
51121312100001,31,21,2711,22,6.0,96.66666666666669,2019-09-30 04:44:31
51121312100001,11,21,2711,22,6.0,95.66666666666669,2019-09-30 04:39:31
51121312100001,31,21,2711,22,6.0,90.0,2019-09-30 04:39:31
51121312100001,11,21,2711,22,6.0,76.0,2019-09-30 04:34:31
