Devices,Lane,PercentageCar,AverageDistance,TimeOccupy,Traffic,Speed,Time
171170317010013,11,27,605,0,11.5,76.8695652173913,2019-07-02 23:22:22
171170317010013,12,12,523,1,22.0,54.54545454545455,2019-07-02 23:22:22
171170317010013,31,27,490,11,11.0,26.0,2019-07-02 23:22:22
171170317010013,32,50,188,6,22.0,43.09090909090909,2019-07-02 23:22:22
171170317010013,11,56,394,0,16.0,78.1875,2019-07-02 23:22:21
171170317010013,12,33,496,1,21.0,59.523809523809526,2019-07-02 23:22:21
171170317010013,31,12,734,13,8.0,34.0,2019-07-02 23:22:21
171170317010013,32,41,282,4,13.0,37.384615384615394,2019-07-02 23:22:21
171170317010013,11,18,511,0,11.0,80.18181818181819,2019-07-02 23:22:20
171170317010013,12,9,566,0,12.5,68.08,2019-07-02 23:22:20
171170317010013,31,12,444,11,8.0,32.0,2019-07-02 23:22:20
171170317010013,32,0,417,0,9.5,31.947368421052627,2019-07-02 23:22:20
171170317010013,12,33,442,0,17.5,66.94285714285714,2019-07-02 23:22:20
171170317010013,11,33,376,0,15.0,77.0,2019-07-02 23:22:20
171170317010013,31,9,486,13,11.0,36.0,2019-07-02 23:22:20
171170317010013,32,20,279,0,10.0,32.0,2019-07-02 23:22:20
171170317010013,11,25,366,0,16.0,79.0,2019-07-02 23:22:19
171170317010013,12,22,660,0,11.0,67.36363636363636,2019-07-02 23:22:19
171170317010013,31,16,461,2,6.0,35.0,2019-07-02 23:22:19
171170317010013,32,16,317,2,12.0,32.666666666666664,2019-07-02 23:22:19
171170317010013,11,50,348,0,17.0,79.0,2019-07-02 23:22:18
171170317010013,12,33,349,1,19.0,63.842105263157904,2019-07-02 23:22:18
171170317010013,31,20,493,10,10.0,49.2,2019-07-02 23:22:18
171170317010013,32,20,305,0,16.5,35.06060606060606,2019-07-02 23:22:18
171170317010013,11,50,457,0,16.0,84.0,2019-07-02 23:22:17
171170317010013,12,20,544,0,13.5,67.18518518518519,2019-07-02 23:22:17
171170317010013,31,12,485,4,8.0,35.25,2019-07-02 23:22:17
171170317010013,32,25,339,2,19.0,33.78947368421053,2019-07-02 23:22:17
171170317010013,11,33,435,0,12.0,77.0,2019-07-02 23:22:16
171170317010013,12,27,449,1,22.0,61.40909090909091,2019-07-02 23:22:16
171170317010013,32,9,286,0,12.0,45.75,2019-07-02 23:22:16
171170317010013,31,12,539,4,8.0,39.0,2019-07-02 23:22:16
171170317010013,11,46,359,2,13.0,81.0,2019-07-02 23:22:15
171170317010013,12,22,653,0,12.5,64.04,2019-07-02 23:22:15
171170317010013,31,50,476,3,6.0,45.83333333333334,2019-07-02 23:22:15
